,Códigos dos Municípios,Nome dos Municípios,Anos,Porcentagem de Docentes com Formação Adequada no Fundamental,Porcentagem de Alunos do Ensino Fundamental em Escolas com Laboratório de Informática,Porcentagem de Alunos do Ensino Fundamental em Escolas com Acesso à Internet
403,2603454,Camaragibe (PE),2014,67.3,58.34,87.23
404,2603454,Camaragibe (PE),2015,67.3,56.22,88.44
405,2603454,Camaragibe (PE),2016,65.5,55.03,89.18
406,2603454,Camaragibe (PE),2017,65.1,58.9,98.08
407,2603454,Camaragibe (PE),2018,NA,NA,NA
408,2603504,Camocim de São Félix (PE),2008,NA,NA,NA
409,2603504,Camocim de São Félix (PE),2009,NA,NA,NA
410,2603504,Camocim de São Félix (PE),2010,NA,NA,NA
411,2603504,Camocim de São Félix (PE),2011,NA,NA,NA
412,2603504,Camocim de São Félix (PE),2012,NA,NA,NA
413,2603504,Camocim de São Félix (PE),2013,56.1,52.26,84.16
414,2603504,Camocim de São Félix (PE),2014,55.4,43.79,86.89
415,2603504,Camocim de São Félix (PE),2015,53,49.65,91.73
416,2603504,Camocim de São Félix (PE),2016,55.8,50.07,91.95
417,2603504,Camocim de São Félix (PE),2017,50.8,17.46,83.98
418,2603504,Camocim de São Félix (PE),2018,NA,NA,NA
419,2603603,Camutanga (PE),2008,NA,NA,NA
420,2603603,Camutanga (PE),2009,NA,NA,NA
421,2603603,Camutanga (PE),2010,NA,NA,NA
422,2603603,Camutanga (PE),2011,NA,NA,NA
423,2603603,Camutanga (PE),2012,NA,NA,NA
424,2603603,Camutanga (PE),2013,40.4,63.73,90.83
425,2603603,Camutanga (PE),2014,61.8,72.59,93.54
426,2603603,Camutanga (PE),2015,59.5,73.24,93.86
427,2603603,Camutanga (PE),2016,57.2,70.51,85.16
428,2603603,Camutanga (PE),2017,47.6,69.34,84.11
429,2603603,Camutanga (PE),2018,NA,NA,NA
430,2603702,Canhotinho (PE),2008,NA,NA,NA
431,2603702,Canhotinho (PE),2009,NA,NA,NA
432,2603702,Canhotinho (PE),2010,NA,NA,NA
433,2603702,Canhotinho (PE),2011,NA,NA,NA
434,2603702,Canhotinho (PE),2012,NA,NA,NA
435,2603702,Canhotinho (PE),2013,53.4,29.77,56.29
436,2603702,Canhotinho (PE),2014,52.7,41.8,70.73
437,2603702,Canhotinho (PE),2015,46.6,27.8,76.72
438,2603702,Canhotinho (PE),2016,49.5,4.46,71.58
439,2603702,Canhotinho (PE),2017,47.3,2.85,69.7
440,2603702,Canhotinho (PE),2018,NA,NA,NA
441,2603801,Capoeiras (PE),2008,NA,NA,NA
442,2603801,Capoeiras (PE),2009,NA,NA,NA
443,2603801,Capoeiras (PE),2010,NA,NA,NA
444,2603801,Capoeiras (PE),2011,NA,NA,NA
445,2603801,Capoeiras (PE),2012,NA,NA,NA
446,2603801,Capoeiras (PE),2013,25.3,56.72,59.01
447,2603801,Capoeiras (PE),2014,25.9,54.41,56.99
448,2603801,Capoeiras (PE),2015,23.9,54.21,52.88
449,2603801,Capoeiras (PE),2016,32.6,48.85,62.6
450,2603801,Capoeiras (PE),2017,29.2,45.87,81.71
451,2603801,Capoeiras (PE),2018,NA,NA,NA
452,2603900,Carnaíba (PE),2008,NA,NA,NA
453,2603900,Carnaíba (PE),2009,NA,NA,NA
454,2603900,Carnaíba (PE),2010,NA,NA,NA
455,2603900,Carnaíba (PE),2011,NA,NA,NA
456,2603900,Carnaíba (PE),2012,NA,NA,NA
457,2603900,Carnaíba (PE),2013,45.5,98.35,92.56
458,2603900,Carnaíba (PE),2014,44,98.4,91.05
459,2603900,Carnaíba (PE),2015,43.4,100,93.87
460,2603900,Carnaíba (PE),2016,48.9,72.33,95.49
461,2603900,Carnaíba (PE),2017,49.1,47.43,96.26
462,2603900,Carnaíba (PE),2018,NA,NA,NA
463,2603926,Carnaubeira da Penha (PE),2008,NA,NA,NA
464,2603926,Carnaubeira da Penha (PE),2009,NA,NA,NA
465,2603926,Carnaubeira da Penha (PE),2010,NA,NA,NA
466,2603926,Carnaubeira da Penha (PE),2011,NA,NA,NA
467,2603926,Carnaubeira da Penha (PE),2012,NA,NA,NA
468,2603926,Carnaubeira da Penha (PE),2013,4.2,11.81,33
469,2603926,Carnaubeira da Penha (PE),2014,3,9.19,30.01
470,2603926,Carnaubeira da Penha (PE),2015,2.8,7.91,21.32
471,2603926,Carnaubeira da Penha (PE),2016,3.3,6.99,35.1
472,2603926,Carnaubeira da Penha (PE),2017,3.5,7.42,41.19
473,2603926,Carnaubeira da Penha (PE),2018,NA,NA,NA
474,2604007,Carpina (PE),2008,NA,NA,NA
475,2604007,Carpina (PE),2009,NA,NA,NA
476,2604007,Carpina (PE),2010,NA,NA,NA
477,2604007,Carpina (PE),2011,NA,NA,NA
478,2604007,Carpina (PE),2012,NA,NA,NA
479,2604007,Carpina (PE),2013,40.5,81.23,80.94
480,2604007,Carpina (PE),2014,41.6,80.93,88.32
481,2604007,Carpina (PE),2015,40.8,71.91,95.43
482,2604007,Carpina (PE),2016,41.4,66.24,96.18
483,2604007,Carpina (PE),2017,45.7,33.81,88.86
484,2604007,Carpina (PE),2018,NA,NA,NA
485,2604106,Caruaru (PE),2008,NA,NA,NA
486,2604106,Caruaru (PE),2009,NA,NA,NA
487,2604106,Caruaru (PE),2010,NA,NA,NA
488,2604106,Caruaru (PE),2011,NA,NA,NA
489,2604106,Caruaru (PE),2012,NA,NA,NA
490,2604106,Caruaru (PE),2013,36.6,85.26,81.42
491,2604106,Caruaru (PE),2014,44.8,81.93,81.76
492,2604106,Caruaru (PE),2015,43.3,77.73,81.46
493,2604106,Caruaru (PE),2016,41.1,70.15,82.34
494,2604106,Caruaru (PE),2017,44.2,70.35,80.31
495,2604106,Caruaru (PE),2018,NA,NA,NA
496,2604155,Casinhas (PE),2008,NA,NA,NA
497,2604155,Casinhas (PE),2009,NA,NA,NA
498,2604155,Casinhas (PE),2010,NA,NA,NA
499,2604155,Casinhas (PE),2011,NA,NA,NA
500,2604155,Casinhas (PE),2012,NA,NA,NA
501,2604155,Casinhas (PE),2013,33.6,62.69,57.23
502,2604155,Casinhas (PE),2014,28.7,78.66,57.41
503,2604155,Casinhas (PE),2015,25.3,79.32,71.05
504,2604155,Casinhas (PE),2016,26.4,68.36,81.64
505,2604155,Casinhas (PE),2017,34.6,64.11,92.07
506,2604155,Casinhas (PE),2018,NA,NA,NA
507,2604205,Catende (PE),2008,NA,NA,NA
508,2604205,Catende (PE),2009,NA,NA,NA
509,2604205,Catende (PE),2010,NA,NA,NA
510,2604205,Catende (PE),2011,NA,NA,NA
511,2604205,Catende (PE),2012,NA,NA,NA
512,2604205,Catende (PE),2013,28.8,80.91,67.88
513,2604205,Catende (PE),2014,32.9,80.54,63.86
514,2604205,Catende (PE),2015,31.4,79.35,81.79
515,2604205,Catende (PE),2016,32.3,80.35,91.08
516,2604205,Catende (PE),2017,32.9,73.69,76.67
517,2604205,Catende (PE),2018,NA,NA,NA
518,2604304,Cedro (PE),2008,NA,NA,NA
519,2604304,Cedro (PE),2009,NA,NA,NA
520,2604304,Cedro (PE),2010,NA,NA,NA
521,2604304,Cedro (PE),2011,NA,NA,NA
522,2604304,Cedro (PE),2012,NA,NA,NA
523,2604304,Cedro (PE),2013,27,89.03,89.66
524,2604304,Cedro (PE),2014,34.2,86.29,90.75
525,2604304,Cedro (PE),2015,31.1,85.34,94.17
526,2604304,Cedro (PE),2016,24,85.04,94.85
527,2604304,Cedro (PE),2017,25.8,83.31,96.86
528,2604304,Cedro (PE),2018,NA,NA,NA
529,2604403,Chã de Alegria (PE),2008,NA,NA,NA
530,2604403,Chã de Alegria (PE),2009,NA,NA,NA
531,2604403,Chã de Alegria (PE),2010,NA,NA,NA
532,2604403,Chã de Alegria (PE),2011,NA,NA,NA
533,2604403,Chã de Alegria (PE),2012,NA,NA,NA
534,2604403,Chã de Alegria (PE),2013,28.1,99.26,94.55
535,2604403,Chã de Alegria (PE),2014,26.4,99.26,97.17
536,2604403,Chã de Alegria (PE),2015,21.5,99.58,97.85
537,2604403,Chã de Alegria (PE),2016,22.9,85.31,97.08
538,2604403,Chã de Alegria (PE),2017,28.2,69.42,97.21
539,2604403,Chã de Alegria (PE),2018,NA,NA,NA
540,2604502,Chã Grande (PE),2008,NA,NA,NA
541,2604502,Chã Grande (PE),2009,NA,NA,NA
542,2604502,Chã Grande (PE),2010,NA,NA,NA
543,2604502,Chã Grande (PE),2011,NA,NA,NA
544,2604502,Chã Grande (PE),2012,NA,NA,NA
545,2604502,Chã Grande (PE),2013,41.1,84.02,75.67
546,2604502,Chã Grande (PE),2014,44.3,85.93,84.84
547,2604502,Chã Grande (PE),2015,49.4,83.49,85.13
548,2604502,Chã Grande (PE),2016,50.2,78.26,91.29
549,2604502,Chã Grande (PE),2017,43.3,80.61,92.72
550,2604502,Chã Grande (PE),2018,NA,NA,NA
551,2604601,Condado (PE),2008,NA,NA,NA
552,2604601,Condado (PE),2009,NA,NA,NA
553,2604601,Condado (PE),2010,NA,NA,NA
554,2604601,Condado (PE),2011,NA,NA,NA
555,2604601,Condado (PE),2012,NA,NA,NA
556,2604601,Condado (PE),2013,34.3,72.07,93.56
557,2604601,Condado (PE),2014,40.8,76.06,94.55
558,2604601,Condado (PE),2015,42.4,74.06,94.38
559,2604601,Condado (PE),2016,42.5,72.73,94.78
560,2604601,Condado (PE),2017,39.2,64.79,93.55
561,2604601,Condado (PE),2018,NA,NA,NA
562,2604700,Correntes (PE),2008,NA,NA,NA
563,2604700,Correntes (PE),2009,NA,NA,NA
564,2604700,Correntes (PE),2010,NA,NA,NA
565,2604700,Correntes (PE),2011,NA,NA,NA
566,2604700,Correntes (PE),2012,NA,NA,NA
567,2604700,Correntes (PE),2013,30,73.39,69.41
568,2604700,Correntes (PE),2014,38.7,53.84,67.22
569,2604700,Correntes (PE),2015,41.3,50.02,67.77
570,2604700,Correntes (PE),2016,47.6,52.2,71.62
571,2604700,Correntes (PE),2017,45.3,49.1,69.9
572,2604700,Correntes (PE),2018,NA,NA,NA
573,2604809,Cortês (PE),2008,NA,NA,NA
574,2604809,Cortês (PE),2009,NA,NA,NA
575,2604809,Cortês (PE),2010,NA,NA,NA
576,2604809,Cortês (PE),2011,NA,NA,NA
577,2604809,Cortês (PE),2012,NA,NA,NA
578,2604809,Cortês (PE),2013,20.8,47.59,78.52
579,2604809,Cortês (PE),2014,20.9,60.54,82.13
580,2604809,Cortês (PE),2015,16.4,61.68,84.07
581,2604809,Cortês (PE),2016,19.5,61.29,79.53
582,2604809,Cortês (PE),2017,30.4,63.78,90.13
583,2604809,Cortês (PE),2018,NA,NA,NA
584,2604908,Cumaru (PE),2008,NA,NA,NA
585,2604908,Cumaru (PE),2009,NA,NA,NA
586,2604908,Cumaru (PE),2010,NA,NA,NA
587,2604908,Cumaru (PE),2011,NA,NA,NA
588,2604908,Cumaru (PE),2012,NA,NA,NA
589,2604908,Cumaru (PE),2013,32.2,67.11,74.2
590,2604908,Cumaru (PE),2014,36.1,67.96,74.27
591,2604908,Cumaru (PE),2015,43.4,22.64,53.91
592,2604908,Cumaru (PE),2016,38.6,23.87,9.87
593,2604908,Cumaru (PE),2017,69,0.66,34.21
594,2604908,Cumaru (PE),2018,NA,NA,NA
595,2605004,Cupira (PE),2008,NA,NA,NA
596,2605004,Cupira (PE),2009,NA,NA,NA
597,2605004,Cupira (PE),2010,NA,NA,NA
598,2605004,Cupira (PE),2011,NA,NA,NA
599,2605004,Cupira (PE),2012,NA,NA,NA
600,2605004,Cupira (PE),2013,20.4,79.7,73.41
601,2605004,Cupira (PE),2014,24.8,72.36,82.62
602,2605004,Cupira (PE),2015,22.1,70.76,84.99
603,2605004,Cupira (PE),2016,22.1,71.86,91.66
604,2605004,Cupira (PE),2017,32.1,65.7,91.98
605,2605004,Cupira (PE),2018,NA,NA,NA
606,2605103,Custódia (PE),2008,NA,NA,NA
607,2605103,Custódia (PE),2009,NA,NA,NA
608,2605103,Custódia (PE),2010,NA,NA,NA
609,2605103,Custódia (PE),2011,NA,NA,NA
610,2605103,Custódia (PE),2012,NA,NA,NA
611,2605103,Custódia (PE),2013,36.7,48.86,78.6
612,2605103,Custódia (PE),2014,37.4,36.24,70.03
613,2605103,Custódia (PE),2015,36,34.39,83.03
614,2605103,Custódia (PE),2016,37.6,34.71,91.53
615,2605103,Custódia (PE),2017,42.9,32.61,87.02
616,2605103,Custódia (PE),2018,NA,NA,NA
617,2605152,Dormentes (PE),2008,NA,NA,NA
618,2605152,Dormentes (PE),2009,NA,NA,NA
619,2605152,Dormentes (PE),2010,NA,NA,NA
620,2605152,Dormentes (PE),2011,NA,NA,NA
621,2605152,Dormentes (PE),2012,NA,NA,NA
622,2605152,Dormentes (PE),2013,55.1,81.64,52.56
623,2605152,Dormentes (PE),2014,51.4,82.41,52.26
624,2605152,Dormentes (PE),2015,54.4,82.3,64
625,2605152,Dormentes (PE),2016,53.2,82.22,88.97
626,2605152,Dormentes (PE),2017,56.6,83,89.14
627,2605152,Dormentes (PE),2018,NA,NA,NA
628,2605202,Escada (PE),2008,NA,NA,NA
629,2605202,Escada (PE),2009,NA,NA,NA
630,2605202,Escada (PE),2010,NA,NA,NA
631,2605202,Escada (PE),2011,NA,NA,NA
632,2605202,Escada (PE),2012,NA,NA,NA
633,2605202,Escada (PE),2013,33.7,71.38,76.92
634,2605202,Escada (PE),2014,30.8,59.68,76.49
635,2605202,Escada (PE),2015,30.1,55.06,83.5
636,2605202,Escada (PE),2016,38.8,43.85,78.28
637,2605202,Escada (PE),2017,38,23.27,69.41
638,2605202,Escada (PE),2018,NA,NA,NA
639,2605301,Exu (PE),2008,NA,NA,NA
640,2605301,Exu (PE),2009,NA,NA,NA
641,2605301,Exu (PE),2010,NA,NA,NA
642,2605301,Exu (PE),2011,NA,NA,NA
643,2605301,Exu (PE),2012,NA,NA,NA
644,2605301,Exu (PE),2013,27.6,72.79,67.4
645,2605301,Exu (PE),2014,31.6,72.71,67.59
646,2605301,Exu (PE),2015,33.9,55.16,71.45
647,2605301,Exu (PE),2016,36.2,70.86,75.01
648,2605301,Exu (PE),2017,35.8,65.07,71.61
649,2605301,Exu (PE),2018,NA,NA,NA
650,2605400,Feira Nova (PE),2008,NA,NA,NA
651,2605400,Feira Nova (PE),2009,NA,NA,NA
652,2605400,Feira Nova (PE),2010,NA,NA,NA
653,2605400,Feira Nova (PE),2011,NA,NA,NA
654,2605400,Feira Nova (PE),2012,NA,NA,NA
655,2605400,Feira Nova (PE),2013,58.4,53.11,82.16
656,2605400,Feira Nova (PE),2014,64,52.17,82.73
657,2605400,Feira Nova (PE),2015,67.6,27.91,72.7
658,2605400,Feira Nova (PE),2016,65.3,18.86,61.12
659,2605400,Feira Nova (PE),2017,51,1.43,84.26
660,2605400,Feira Nova (PE),2018,NA,NA,NA
661,2605459,Fernando de Noronha (PE),2008,NA,NA,NA
662,2605459,Fernando de Noronha (PE),2009,NA,NA,NA
663,2605459,Fernando de Noronha (PE),2010,NA,NA,NA
664,2605459,Fernando de Noronha (PE),2011,NA,NA,NA
665,2605459,Fernando de Noronha (PE),2012,NA,NA,NA
666,2605459,Fernando de Noronha (PE),2013,42,100,100
667,2605459,Fernando de Noronha (PE),2014,45.9,100,100
668,2605459,Fernando de Noronha (PE),2015,51.5,100,100
669,2605459,Fernando de Noronha (PE),2016,67.5,100,100
670,2605459,Fernando de Noronha (PE),2017,66.7,100,100
671,2605459,Fernando de Noronha (PE),2018,NA,NA,NA
672,2605509,Ferreiros (PE),2008,NA,NA,NA
673,2605509,Ferreiros (PE),2009,NA,NA,NA
674,2605509,Ferreiros (PE),2010,NA,NA,NA
675,2605509,Ferreiros (PE),2011,NA,NA,NA
676,2605509,Ferreiros (PE),2012,NA,NA,NA
677,2605509,Ferreiros (PE),2013,66.9,80.63,84.71
678,2605509,Ferreiros (PE),2014,69.3,80.63,87.87
679,2605509,Ferreiros (PE),2015,67.8,78.22,88.31
680,2605509,Ferreiros (PE),2016,69.5,76.64,90.24
681,2605509,Ferreiros (PE),2017,65.7,80.76,88.12
682,2605509,Ferreiros (PE),2018,NA,NA,NA
683,2605608,Flores (PE),2008,NA,NA,NA
684,2605608,Flores (PE),2009,NA,NA,NA
685,2605608,Flores (PE),2010,NA,NA,NA
686,2605608,Flores (PE),2011,NA,NA,NA
687,2605608,Flores (PE),2012,NA,NA,NA
688,2605608,Flores (PE),2013,21,68.35,73.09
689,2605608,Flores (PE),2014,22.7,61.26,80.63
690,2605608,Flores (PE),2015,22.7,76.7,84.56
691,2605608,Flores (PE),2016,20.4,69.63,84.35
692,2605608,Flores (PE),2017,37.4,69.66,89.33
693,2605608,Flores (PE),2018,NA,NA,NA
694,2605707,Floresta (PE),2008,NA,NA,NA
695,2605707,Floresta (PE),2009,NA,NA,NA
696,2605707,Floresta (PE),2010,NA,NA,NA
697,2605707,Floresta (PE),2011,NA,NA,NA
698,2605707,Floresta (PE),2012,NA,NA,NA
699,2605707,Floresta (PE),2013,29.9,39.05,63.53
700,2605707,Floresta (PE),2014,26.7,32.89,63.43
701,2605707,Floresta (PE),2015,25.2,31.11,74.09
702,2605707,Floresta (PE),2016,35.8,38.96,76.5
703,2605707,Floresta (PE),2017,39.8,37.37,77.74
704,2605707,Floresta (PE),2018,NA,NA,NA
705,2605806,Frei Miguelinho (PE),2008,NA,NA,NA
706,2605806,Frei Miguelinho (PE),2009,NA,NA,NA
707,2605806,Frei Miguelinho (PE),2010,NA,NA,NA
708,2605806,Frei Miguelinho (PE),2011,NA,NA,NA
709,2605806,Frei Miguelinho (PE),2012,NA,NA,NA
710,2605806,Frei Miguelinho (PE),2013,9.9,61.11,59.11
711,2605806,Frei Miguelinho (PE),2014,10.4,61.08,71.74
712,2605806,Frei Miguelinho (PE),2015,9.6,57.62,73.27
713,2605806,Frei Miguelinho (PE),2016,7.1,53.9,60.47
714,2605806,Frei Miguelinho (PE),2017,9.5,26.98,76.37
715,2605806,Frei Miguelinho (PE),2018,NA,NA,NA
716,2606002,Garanhuns (PE),2008,NA,NA,NA
717,2606002,Garanhuns (PE),2009,NA,NA,NA
718,2606002,Garanhuns (PE),2010,NA,NA,NA
719,2606002,Garanhuns (PE),2011,NA,NA,NA
720,2606002,Garanhuns (PE),2012,NA,NA,NA
721,2606002,Garanhuns (PE),2013,36.2,69.27,81.92
722,2606002,Garanhuns (PE),2014,34.5,66.26,81.9
723,2606002,Garanhuns (PE),2015,33.1,62.81,87.97
724,2606002,Garanhuns (PE),2016,38.1,49.83,94.38
725,2606002,Garanhuns (PE),2017,53.1,41.6,87.8
726,2606002,Garanhuns (PE),2018,NA,NA,NA
727,2606101,Glória do Goitá (PE),2008,NA,NA,NA
728,2606101,Glória do Goitá (PE),2009,NA,NA,NA
729,2606101,Glória do Goitá (PE),2010,NA,NA,NA
730,2606101,Glória do Goitá (PE),2011,NA,NA,NA
731,2606101,Glória do Goitá (PE),2012,NA,NA,NA
732,2606101,Glória do Goitá (PE),2013,42.2,59.8,74.42
733,2606101,Glória do Goitá (PE),2014,41.1,58.28,73.67
734,2606101,Glória do Goitá (PE),2015,44.7,50.94,69.95
735,2606101,Glória do Goitá (PE),2016,42.8,49.4,69.87
736,2606101,Glória do Goitá (PE),2017,38.7,25.51,70.86
737,2606101,Glória do Goitá (PE),2018,NA,NA,NA
738,2606200,Goiana (PE),2008,NA,NA,NA
739,2606200,Goiana (PE),2009,NA,NA,NA
740,2606200,Goiana (PE),2010,NA,NA,NA
741,2606200,Goiana (PE),2011,NA,NA,NA
742,2606200,Goiana (PE),2012,NA,NA,NA
743,2606200,Goiana (PE),2013,28.5,75.61,63.33
744,2606200,Goiana (PE),2014,28.2,84.79,68.61
745,2606200,Goiana (PE),2015,28.3,64.49,67.86
746,2606200,Goiana (PE),2016,31.8,62.24,61.29
747,2606200,Goiana (PE),2017,37.1,53.35,57.22
748,2606200,Goiana (PE),2018,NA,NA,NA
749,2606309,Granito (PE),2008,NA,NA,NA
750,2606309,Granito (PE),2009,NA,NA,NA
751,2606309,Granito (PE),2010,NA,NA,NA
752,2606309,Granito (PE),2011,NA,NA,NA
753,2606309,Granito (PE),2012,NA,NA,NA
754,2606309,Granito (PE),2013,23.9,81.95,61.43
755,2606309,Granito (PE),2014,55.2,80.69,48.92
756,2606309,Granito (PE),2015,54,62.38,80.84
757,2606309,Granito (PE),2016,50,60.26,100
758,2606309,Granito (PE),2017,43.6,57.53,89.07
759,2606309,Granito (PE),2018,NA,NA,NA
760,2606408,Gravatá (PE),2008,NA,NA,NA
761,2606408,Gravatá (PE),2009,NA,NA,NA
762,2606408,Gravatá (PE),2010,NA,NA,NA
763,2606408,Gravatá (PE),2011,NA,NA,NA
764,2606408,Gravatá (PE),2012,NA,NA,NA
765,2606408,Gravatá (PE),2013,56.8,71.19,86.14
766,2606408,Gravatá (PE),2014,53.7,72.38,84.25
767,2606408,Gravatá (PE),2015,55.1,67.76,87.1
768,2606408,Gravatá (PE),2016,57.8,59.55,88.32
769,2606408,Gravatá (PE),2017,62.2,57.69,90.48
770,2606408,Gravatá (PE),2018,NA,NA,NA
771,2606507,Iati (PE),2008,NA,NA,NA
772,2606507,Iati (PE),2009,NA,NA,NA
773,2606507,Iati (PE),2010,NA,NA,NA
774,2606507,Iati (PE),2011,NA,NA,NA
775,2606507,Iati (PE),2012,NA,NA,NA
776,2606507,Iati (PE),2013,18,61.03,61.72
777,2606507,Iati (PE),2014,32,76.29,70.41
778,2606507,Iati (PE),2015,26.6,78.32,62.81
779,2606507,Iati (PE),2016,13.4,78.77,62.52
780,2606507,Iati (PE),2017,12.3,73.3,60.45
781,2606507,Iati (PE),2018,NA,NA,NA
782,2606606,Ibimirim (PE),2008,NA,NA,NA
783,2606606,Ibimirim (PE),2009,NA,NA,NA
784,2606606,Ibimirim (PE),2010,NA,NA,NA
785,2606606,Ibimirim (PE),2011,NA,NA,NA
786,2606606,Ibimirim (PE),2012,NA,NA,NA
787,2606606,Ibimirim (PE),2013,26.1,66.44,50.45
788,2606606,Ibimirim (PE),2014,29.1,66.31,64.56
789,2606606,Ibimirim (PE),2015,28.6,63.72,85.99
790,2606606,Ibimirim (PE),2016,33,59.9,92.49
791,2606606,Ibimirim (PE),2017,29.4,37.6,93.48
792,2606606,Ibimirim (PE),2018,NA,NA,NA
793,2606705,Ibirajuba (PE),2008,NA,NA,NA
794,2606705,Ibirajuba (PE),2009,NA,NA,NA
795,2606705,Ibirajuba (PE),2010,NA,NA,NA
796,2606705,Ibirajuba (PE),2011,NA,NA,NA
797,2606705,Ibirajuba (PE),2012,NA,NA,NA
798,2606705,Ibirajuba (PE),2013,25.9,46.1,73.21
799,2606705,Ibirajuba (PE),2014,30.6,52.73,81.95
800,2606705,Ibirajuba (PE),2015,29,2.36,85.25
801,2606705,Ibirajuba (PE),2016,31.9,0,85.81
802,2606705,Ibirajuba (PE),2017,27.2,0,88.1
803,2606705,Ibirajuba (PE),2018,NA,NA,NA
804,2606804,Igarassu (PE),2008,NA,NA,NA
805,2606804,Igarassu (PE),2009,NA,NA,NA
806,2606804,Igarassu (PE),2010,NA,NA,NA
807,2606804,Igarassu (PE),2011,NA,NA,NA
808,2606804,Igarassu (PE),2012,NA,NA,NA
809,2606804,Igarassu (PE),2013,58.8,41.35,80.69
810,2606804,Igarassu (PE),2014,60.4,40.33,84.1
811,2606804,Igarassu (PE),2015,57.4,41.99,86.51
812,2606804,Igarassu (PE),2016,52.4,38.88,85.7
813,2606804,Igarassu (PE),2017,52.4,29.06,77.8
814,2606804,Igarassu (PE),2018,NA,NA,NA
815,2606903,Iguaraci (PE),2008,NA,NA,NA
816,2606903,Iguaraci (PE),2009,NA,NA,NA
817,2606903,Iguaraci (PE),2010,NA,NA,NA
818,2606903,Iguaraci (PE),2011,NA,NA,NA
819,2606903,Iguaraci (PE),2012,NA,NA,NA
